conversacion,plantilla,mensaje,botones,tipo,proposito,estado,equipo
Problemas técnicos: especialista cancela,cancelacion_por_problemas_tecnicos_especialistas,Hola {{hubspot_firstname}} Tu especialista nos avisó que se encuentra con problemas técnicos y no puede ingresar a la sesión. Nos solicitó que te apoyemos a reagendar y recuperar la sesión. Mil disculpas y muchas gracias por tu comprensión,,,,Manual activo,ATC
Propuesta flujo cancelación por mensajería,,,,,,Inactivo,
Puntuación 1,problemas_tecnicos_dic_2025,Hola {{hubspot_firstname}} 💚 Vimos que tu última sesión presentó inconvenientes técnicos. Lamentamos la experiencia y queremos ayudarte a resolverlo cuanto antes.   ¿Podemos contactarte para revisar lo ocurrido y apoyarte?,Mensaje por Whatsapp Prueba tecnica               No deseo asistencia ,Utilidad,Cuando puntua 1,Push Activo,ATC
Puntuación 2,problemas_tecnicos_dic_2025,Hola {{hubspot_firstname}} 💚 Vimos que tu última sesión presentó inconvenientes técnicos. Lamentamos la experiencia y queremos ayudarte a resolverlo cuanto antes.   ¿Podemos contactarte para revisar lo ocurrido y apoyarte?,Mensaje por Whatsapp Prueba tecnica               No deseo asistencia ,Utilidad,Cuando puntua 2,Push Activo,ATC
Puntuación 3,hsm_problemas_tecnicos,Hola {{hubspot_firstname}}🌿 Notamos que calificaste tu última sesión con un 3. Queremos asegurarnos de que tus próximas videollamadas funcionen sin inconvenientes.  ¿Te gustaría que te ayudemos con soporte técnico?,Mensaje por Whatsapp Prueba tecnica               No deseo asistencia ,Utilidad,Cuando puntua 3,Push Activo,ATC
Push Marketing descargar APP,,,,,,Inactivo,
Push Recomenzar-onboarding Whatsapp,recomenzar_utilidad_1,"Hola {{hubspot_firstname}}, notamos que tu intento de agendar tu Tour de Bienvenida con tu Consultor de Bienestar no se completó. ¿Podemos ayudarte?",Sin botones ,Utilidad,Cuando no agenda viejo onboarding,Push Activo,Consultores
Push Retorno incompleto,,,,,,Inactivo,
Push completar ICP,,,,,,Inactivo,
Push etapa 5,,,,,,Inactivo,
Push fin de postergación,,,,,,Inactivo,
Push postergar y agendar,push_agendar_pausa,"¡Hola {{hubspot_firstname}}! 🌟  Recibimos tu postergación de pago y notamos que tienes sesiones sin agendar. Queremos ayudarte para que no expiren durante tu ausencia.  Para que esto no ocurra, sigue estos pasos:   Puedes agendarlas tu mismo ➡️ (opcionyo.com/paciente) Puedes solicitar apoyo ➡️ un agente te asistirá en este chat.  Equipo de Opción Yo.",Solicitar ayuda,Utilidad,Cuando posterga y deja sesiones sin agendar,Push Activo,ATC
Push renovación etapa 9,renovacion_sin_sesiones_agendadas,"Hola {{hubspot_firstname}}, se registró la renovación de tu plan hace 72 horas. Se encuentran disponibles nuevas sesiones en tu cuenta para agendar. Para más información puedes contactarnos.",Sin botones,Utilidad,Cuando se renueva y no agenda sus sesiones,Push Activo,ATC
Push retest vencido 1,,,,,,Inactivo,
Push retest vencido 2,,,,,,Inactivo,
Push retest vencido 3,,,,,,Inactivo,
Push sesión en 72hs,sesion_en_72hrs,"Hola {{hubspot_firstname}}, Notamos que no lograste asistir a tu última sesión. Queremos recordarte que tienes una próxima sesión agendada en 72 horas. Si necesitas modificarla o tienes algún inconveniente, contáctanos con anticipación para ayudarte a reagendar sin que pierdas tu espacio 🌿. La constancia es clave para que tu proceso sea exitoso. Estamos aquí para acompañarte ✨",,,Cuando el cliente no asistió a su ultima sesión y tiene otra en 72hs ,Push Activo,ATC
Push video onboarding,,,,,,Inactivo,
Quejas Control de Calidad,queja_retencion,"Hola! Te saluda Celeste, encargada de Control de Calidad de Opción Yo. Quería confirmarte que recibí tu caso y estoy verificando en el sistema para darte una solución. Tendrías unos minutos para conversar brevemente, así entiendo mejor cómo ayudarte?",,,,Manual activo,Mantenimiento
Queremos que vuelvas,,,,,,Inactivo,
Recomenzar mensaje a los 12 horas,etapa_5_push_nuevo_12_hs,"Hola {{hubspot_firstname}}, aún tienes pendiente agendar tu Tour de Bienvenida. ¿Podemos agendarlo ahora?",Sin botones,Utilidad,Cuando compró hace 12 horas y no hizo viejo onboarding,Push Activo,Consultores
Recordatorio 1h antes,q3_recordatorio_1_hr_antes,Hola {{hubspot_firstname}} 👋🏼 Te recordamos que tu sesión agendada en Opción Yo empieza en 1 hora. Busca un rinconcito privado y sin distracciones 🧘🏼‍♀✨ ¡Te esperamos! 💛,Sin botones,Utilidad,Cuando tiene sesión en 1 hora,Push Activo,ATC
Recordatorio 30 minutos antes,sesion_30_min,¡Hola {{hubspot_firstname}}! 👋   Tu sesión comenzará en 30 minutos.   Haz click en el botón azul ➡️ en nuestra plataforma para habilitar la sesión. Accede a tu perfil aquí 👇🏻   https://opcionyo.com/paciente ¿Listo para empezar?,Confirmar Asistencia     Llegare tarde                  No voy a llegar ,Marketing,Cuando tiene sesión en 30 minutos ,Push Activo,ATC
Recordatorio 3hs antes,,,,,,Inactivo,
Recordatorio SDD,,,,,,Inactivo,
Recordatorio Sesión en 28hs,push_26_hs_mas_directo,"Hola {{hubspot_firstname}}, Tu sesión es mañana a las {{hubspot_sesion_en_28hs}}, Como no hemos recibido cambios, tu sesión sigue confirmada. Si no podrás asistir, puedes reagendarla dentro de las próximas 2h. Las sesiones no canceladas con 24h de anticipación se consideran tomadas. Gracias por tu compromiso ✨",Confirmar                 Reagendar,Utilidad,Cuando tiene sesion en 28hs para que confirme su asistencia. Si no responde manda otro mensaje 26hs antes de su sesión para que confirme,Push Activo,ATC
Recordatorio consultoria 30 min antes,notif_record_tour_con_foto_no_whatsapp,"Hola {{hubspot_firstname}} 👋🏻, te recordamos que tu Tour de Bienvenida agendado en Opción Yo comenzará en 30 minutos.   Recuerda que para acceder al Tour debes ingresar a la plataforma. Si necesitas ayuda, estamos aquí para ti.",Sin botones,Utilidad,30 minutos antes de su consultoria,Push Activo,Consultores
Recordatorios 1 de marzo,,,,,,Inactivo,
Retomar onboarding,,,,,,Inactivo,
SDD sin agendar,recomenzar_sdd_sin_emojis_utilidad,"Hola {{hubspot_firstname}}, detectamos que tu intento de agendar la Sesión de Descubrimiento quedó incompleto. Si necesitas ayuda para finalizar el proceso estamos aquí para apoyarte. ✅",,,,Manual activo,ATC
START IA,,,,,,Inactivo,
Saludo - Gestor de Consultoria,responder_comunicacion,"Hola {{hubspot_firstname}}, nos comunicamos contigo en respuesta a tu solicitud. ¿Tienes un momento para revisarlo ahora?",,,,Manual activo,Consultores
Saludo Cancelación Alonso,fid_contacto_ver_3,"Hola 😊 Gracias por escribirnos. Mi intención es apoyarte con la solicitud que realizaste para que el proceso sea claro y sencillo. Antes de avanzar, me gustaría saber qué situación te llevó a considerar la cancelación. Tu experiencia es importante para nosotros y queremos asegurarnos de que recibas el acompañamiento adecuado. ¿Podrías contarme un poco más?











",,,,Manual activo,Cancelaciones
Saludo Cancelación Carlos,fid_contacto_ver_3,"Hola 😊 Gracias por escribirnos. Mi intención es apoyarte con la solicitud que realizaste para que el proceso sea claro y sencillo. Antes de avanzar, me gustaría saber qué situación te llevó a considerar la cancelación. Tu experiencia es importante para nosotros y queremos asegurarnos de que recibas el acompañamiento adecuado. ¿Podrías contarme un poco más?











",,,,Manual activo,Cancelaciones
Saludo Cancelación Lau O,fid_contacto_ver_3,"Hola 😊 Gracias por escribirnos. Mi intención es apoyarte con la solicitud que realizaste para que el proceso sea claro y sencillo. Antes de avanzar, me gustaría saber qué situación te llevó a considerar la cancelación. Tu experiencia es importante para nosotros y queremos asegurarnos de que recibas el acompañamiento adecuado. ¿Podrías contarme un poco más?











",,,,Manual activo,Mantenimiento
Saludo Cancelación Laura P,fid_contacto_ver_3,"Hola 😊 Gracias por escribirnos. Mi intención es apoyarte con la solicitud que realizaste para que el proceso sea claro y sencillo. Antes de avanzar, me gustaría saber qué situación te llevó a considerar la cancelación. Tu experiencia es importante para nosotros y queremos asegurarnos de que recibas el acompañamiento adecuado. ¿Podrías contarme un poco más?











",,,,Manual activo,Cancelaciones
Saludo Carol INASISTENCIAS,saludo_carolina_inasistencias,"Hola, ¿Cómo estás? Te saluda *Carolina* *Neira,* de Opción Yo, tu plan de bienestar 🌱 Notamos que tienes algunas sesiones agendadas a las que no has podido asistir. Quisiera saber si todo está bien o si ocurrió algo que te haya impedido conectarte. Si necesitas apoyo o hacer algún ajuste para continuar con tu proceso de bienestar, con gusto estamos aquí para ayudarte.",,,,Manual activo,Mantenimiento
Saludo Carol NPS,saludo_carol_nps,Hola! Te saluda Carolina del área de Control de Calidad de Opción Yo💚. Notamos que tu experiencia con nosotros no llenó tus expectativas. Me gustaría pedirte 5 minutos de tu tiempo para entender qué pasó y darte una solución y al mismo tiempo recibir sugerencias para mejorar nuestro servicio.,,,,Manual activo,Mantenimiento
Saludo Claudia,saludo_diana_rete,"Hola 😊 Gracias por escribirnos. Mi intención es apoyarte con la solicitud que realizaste para que el proceso sea claro y sencillo. Antes de avanzar, me gustaría saber qué situación te llevó a considerar la cancelación. Tu experiencia es importante para nosotros y queremos asegurarnos de que recibas el acompañamiento adecuado. ¿Podrías contarme un poco más?",,,,Manual activo,Cancelaciones
Saludo Client Success,saludo_soporte,"Hola {{hubspot_firstname}}, nos ponemos en contacto porque necesitamos conversar contigo. ¿Tienes un momento?",,,,Manual activo,Mantenimiento
Saludo Dep de Calidad,saludo_retencion,"Hola {{hubspot_firstname}}, te saludamos desde el Departamento de Calidad de Opción Yo, para revisar tu solicitud. ¿Tienes un momento para conversar?",,,,Manual activo,Mantenimiento
Saludo Diana Rete,saludo_diana_rete,"Hola 😊 Gracias por escribirnos. Mi intención es apoyarte con la solicitud que realizaste para que el proceso sea claro y sencillo. Antes de avanzar, me gustaría saber qué situación te llevó a considerar la cancelación. Tu experiencia es importante para nosotros y queremos asegurarnos de que recibas el acompañamiento adecuado. ¿Podrías contarme un poco más?",,,,Manual activo,Cancelaciones
Saludo Especialista deja OY,cambio_de_especialista_consultores_v2,"Hola, {{hubspot_firstname}} 👋🏼 Soy {{hubspot_admin_consultor}} de Opción Yo. Para dar continuidad a tu proceso, necesitamos coordinar una breve llamada contigo sobre una actualización relacionada con tu especialista. ¿Qué horario te resulta conveniente para comunicarme contigo?",,,,Manual activo,Consultores
Saludo Gestoras Consultoria,saludo_consultoria_v4,"Hola, {{hubspot_firstname}}. 🌱 Tenemos una consulta pendiente relacionada con tu cuenta en Opción Yo. Por favor respóndenos por este medio para poder continuar con la gestión solicitada. 👋🏼",,,,Manual activo,Consultores
Saludo Giselle INASISTENCIAS,saludo_giselle_inasistencias,"Hola, ¿Cómo estás? Te saluda *Giselle* *Villegas* de Opción Yo, tu plan de bienestar 🌱 Notamos que tienes algunas sesiones agendadas a las que no has podido asistir. Quisiera saber si todo está bien o si ocurrió algo que te haya impedido conectarte. Si necesitas apoyo o hacer algún ajuste para continuar con tu proceso de bienestar, con gusto estamos aquí para ayudarte.",,,,Manual activo,Mantenimiento
Saludo Giselle NPS,saludo_giselle_nps,Hola! Te saluda Giselle del área de Control de Calidad de Opción Yo💚. Notamos que tu experiencia con nosotros no llenó tus expectativas. Me gustaría pedirte 5 minutos de tu tiempo para entender qué pasó y darte una solución y al mismo tiempo recibir sugerencias para mejorar nuestro servicio.,,,,Manual activo,Mantenimiento
Saludo Glina,,,,,,Inactivo,
Saludo Lau O,mante_saludo_general,"Hola {{hubspot_firstname}}, sabemos que tienes una solicitud o consulta y queremos acompañarte en este proceso. Para poder continuar con la atención, por favor respóndenos este mensaje. Será un gusto ayudarte y brindarte el apoyo que necesites.",,,,Manual activo,Mantenimiento
Seguimiento Alonso,utilidad_solicitud_generica_fid,"Hola {{hubspot_firstname}}, Este mensaje corresponde a una solicitud que realizaste previamente en Opción Yo.  Para continuar con su gestión, selecciona una opción.",,,,Manual activo,Cancelaciones
Seguimiento Carlos,utilidad_solicitud_generica_fid,"Hola {{hubspot_firstname}}, Este mensaje corresponde a una solicitud que realizaste previamente en Opción Yo.  Para continuar con su gestión, selecciona una opción.",,,,Manual activo,Mantenimiento
Seguimiento LauO,utilidad_solicitud_generica_fid,"Hola {{hubspot_firstname}}, Este mensaje corresponde a una solicitud que realizaste previamente en Opción Yo.  Para continuar con su gestión, selecciona una opción.",,,,Manual activo,Mantenimiento
Seguimiento LauraP,utilidad_solicitud_generica_fid,"Hola {{hubspot_firstname}}, Este mensaje corresponde a una solicitud que realizaste previamente en Opción Yo.  Para continuar con su gestión, selecciona una opción.",,,,Manual activo,Cancelaciones
Segunda Sesión - Si asistió,sgm_2ss_v2,"Hola {{hubspot_firstname}} Te escribo para dar seguimiento a tu segunda sesión. ¿Todo se está desarrollando correctamente con tu especialista? Si necesitas apoyo para ajustar algo, puedo ayudarte.",Quiero que me escribas    Todo Estuvo bien ,Utilidad,Cuando completa exitosamente su segunda sesión,Push Activo,Consultores
Sesion gratis: Urgencia Especialista cancela,reagendar_error_especialista_regalo_sesion,"Hola {{hubspot_firstname}},   Tu especialista tuvo un contratiempo de último momento y no podrá tener la sesión acordada. Te pedimos las disculpas del caso a nombre de Opción Yo por este inconveniente y por avisar con tan poca anticipación, te queremos regalar una sesión extra. Te agradecemos muchisimo la comprensión.",,,,Manual activo,ATC
Sin sesiones agendadas,vigencia_sesiones_sin_agendar,"Hola {{hubspot_firstname}}, hay sesiones disponibles en tu cuenta con vencimiento próximo. Puedes revisarlas y agendarlas desde la plataforma. Si requieres asistencia, estamos disponibles para ayudarte.",Sin botones,Utilidad,Cuando no tiene agendadas sus sesiones,Push Activo,ATC
Solicitar Meet Especialista,esp_solicitar_ayuda_pt,"Hola {{hubspot_firstname}}, tu cliente no puede ingresar a su sesión programada. ¿Podrías enviarnos el link de Google Meet para ayudarle a conectarse? Muchas gracias.",,,,Manual activo,ATC
Solicitud de Freepass por especialista,pedido_freepass_por_esp,"Hola {{hubspot_firstname}}, tu especialista nos indicó que solicitas recuperar la última sesión a la que no pudiste asistir. ¿Puedes reagendar en este momento? Quedamos pendientes.",,,,Manual activo,ATC
Solicitud de Postergar pago,,,,,,Inactivo,
Soporte - Inbound,,"Hola {{hubspot_firstname}}, nos comunicamos contigo en respuesta a tu solicitud. ¿Tienes un momento para revisarlo ahora?",,,,Inbound,
Soporte - Saludo,responder_comunicacion,"Hola {{hubspot_firstname}}, nos comunicamos contigo en respuesta a tu solicitud. ¿Tienes un momento para revisarlo ahora?",,,,Manual activo,ATC
Tercera sesión si asistió,ss_3ra_ss_si_asistio_v6,"Hola {{hubspot_firstname}} Soy {{hubspot_hsm_nombre_consultor}}. Paso para verificar que tu proceso continua bien. Si necesitas realizar algún cambio o tienes alguna inquietud, puedes escribirme.",Quiero que me escribas                          Todo Estuvo bien ,Utilidad,Cuando completa exitosamente su tercera sesión,Push Activo,Consultores
Tus Apegos Invitación,,,,,,Inactivo,
Urgencia: Especialista cancela,cancelacion_por_urgencias_especialistas,Hola {{hubspot_firstname}} Tu especialista nos avisó que tuvo una emergencia por lo tanto tiene que cancelar la sesión del día de hoy. Nos solicitó que te apoyemos a reagendar y recuperar la sesión. Mil disculpas y muchas gracias por tu comprensión,,Utilidad,,Manual activo,ATC
YO FEST - recordatorio 16 de junio,,,,Utilidad,,Inactivo,
YO FEST- CLIENTE ACTIVO,,,,Utilidad,,Inactivo,
Próximo paso de tu proceso,proximo_paso_de_tu_proceso_1,"Hola, {{hubspot_firstname}}. En las próximas 24 horas te llamaremos desde el *+1* *(305)* *767-9862* para ayudarte a elegir a tu especialista y brindarte la información necesaria antes de iniciar tus sesiones. *Guarda* *este* *número* *en* *tus* *contactos* *para* *que* *podamos* *comunicarnos* *contigo.*













",Sin botones,Utilidad,,Manual activo,
Información importante sobre tu proceso,proximo_paso_de_tu_proceso,"*Hola,* *{{hubspot_firstname}}.* Ya tienes tu primera sesión agendada. En las próximas 24 horas te llamaremos desde el *+1* *(305)* *767-9862* para brindarte información importante sobre el inicio de tu proceso y resolver cualquier duda antes de tus sesiones. *Guarda* *este* *número* *en* *tus* *contactos* *para* *que* *podamos* *comunicarnos* *contigo.*",Sin botones,Utilidad,,Manual activo,
Coordinemos una nueva llamada,coordinemos_una_nueva_llamada,"Hola, {{hubspot_firstname}}, No logramos comunicarnos contigo en el horario acordado para tu llamada de inicio. ¿En qué horario te resulta más conveniente que te llamemos? Respóndenos por este medio y coordinaremos una nueva llamada.














",Sin botones,Utilidad,,Manual activo,
Próximo paso de tu cambio de especialista,proximo_paso_de_tu_cambio_de_especialista,"Hola, *{{hubspot_firstname}}*. Soy *{{hubspot_admin_consultor}}*, tu consultor en Opción Yo. Quiero ayudarte con tu solicitud de cambio de especialista. *¿Qué* *horario* *te* *resulta* *más* *conveniente* *para* *que* *te* *llame?* Respóndeme por este medio y coordinaremos la llamada.














",Sin botones,Utilidad,,Manual activo,
Seguimiento a tu proceso,seguimiento_a_tu_proceso,"Hola,{{hubspot_firstname}}. Soy {{hubspot_hsm_nombre_consultor}}, tu consultor en Opción Yo. Como parte de tu proceso, quiero hacer un breve seguimiento para conversar sobre tus primeras sesiones y acompañarte si hay alguna duda o situación en la que pueda ayudarte. ¿Qué horario te resulta más conveniente para que te llame? Respóndeme por este medio y coordinaremos la llamada.",Sin botones,Utilidad,,Manual activo,
